time_years;log10(time_years);power_out;temp_out;pres_out;
0.00274;-2.56229;3.917538e+05;2.532771e+01;1.100e+05;
0.00603;-2.21987;2.917251e+05;2.261918e+01;1.100e+05;
0.00997;-2.00119;2.549614e+05;2.162371e+01;1.100e+05;
0.01471;-1.83248;2.337015e+05;2.104805e+01;1.100e+05;
0.01918;-1.71719;2.211100e+05;2.070710e+01;1.100e+05;
0.02600;-1.58510;2.089803e+05;2.037866e+01;1.100e+05;
0.03418;-1.46628;1.991912e+05;2.011360e+01;1.100e+05;
0.04110;-1.38620;1.929098e+05;1.994351e+01;1.100e+05;
0.05288;-1.27674;1.853006e+05;1.973747e+01;1.100e+05;
0.06701;-1.17384;1.786466e+05;1.955730e+01;1.100e+05;
0.08329;-1.07942;1.729108e+05;1.940199e+01;1.100e+05;
0.10364;-0.98446;1.675187e+05;1.925599e+01;1.100e+05;
0.12807;-0.89255;1.625999e+05;1.912280e+01;1.100e+05;
0.15738;-0.80304;1.580714e+05;1.900018e+01;1.100e+05;
0.19256;-0.71543;1.538708e+05;1.888643e+01;1.100e+05;
0.23477;-0.62935;1.499502e+05;1.878027e+01;1.100e+05;
0.25014;-0.60182;1.486474e+05;1.874500e+01;1.100e+05;
0.31092;-0.50735;1.446957e+05;1.863800e+01;1.100e+05;
0.38386;-0.41583;1.410342e+05;1.853885e+01;1.100e+05;
0.47139;-0.32662;1.376212e+05;1.844644e+01;1.100e+05;
0.50000;-0.30103;1.365948e+05;1.841864e+01;1.100e+05;
0.62604;-0.20340;1.331365e+05;1.832500e+01;1.100e+05;
0.77729;-0.10942;1.299391e+05;1.823842e+01;1.100e+05;
0.95879;-0.01828;1.269632e+05;1.815784e+01;1.100e+05;
1.00000;0.00000;1.263270e+05;1.814062e+01;1.100e+05;
1.26136;0.10084;1.232569e+05;1.805749e+01;1.100e+05;
1.53533;0.18620;1.207219e+05;1.798885e+01;1.100e+05;
1.80930;0.25751;1.186542e+05;1.793286e+01;1.100e+05;
2.00000;0.30103;1.173914e+05;1.789866e+01;1.100e+05;
2.27397;0.35679;1.158463e+05;1.785683e+01;1.100e+05;
2.54795;0.40619;1.145069e+05;1.782056e+01;1.100e+05;
2.82192;0.45054;1.133289e+05;1.778866e+01;1.100e+05;
3.09589;0.49079;1.122804e+05;1.776027e+01;1.100e+05;
3.36986;0.52761;1.113377e+05;1.773474e+01;1.100e+05;
3.64384;0.56156;1.104829e+05;1.771160e+01;1.100e+05;
3.91781;0.59304;1.097022e+05;1.769046e+01;1.100e+05;
4.19178;0.62240;1.089847e+05;1.767103e+01;1.100e+05;
4.46575;0.64989;1.083216e+05;1.765308e+01;1.100e+05;
4.73973;0.67575;1.077057e+05;1.763640e+01;1.100e+05;
5.00000;0.69897;1.071583e+05;1.762158e+01;1.100e+05;
5.27397;0.72214;1.066189e+05;1.760697e+01;1.100e+05;
5.54795;0.74413;1.061122e+05;1.759325e+01;1.100e+05;
5.82192;0.76507;1.056348e+05;1.758032e+01;1.100e+05;
6.09589;0.78504;1.051836e+05;1.756811e+01;1.100e+05;
6.36986;0.80413;1.047562e+05;1.755653e+01;1.100e+05;
6.64384;0.82242;1.043503e+05;1.754554e+01;1.100e+05;
6.91781;0.83997;1.039639e+05;1.753508e+01;1.100e+05;
7.19178;0.85684;1.035956e+05;1.752511e+01;1.100e+05;
7.46575;0.87307;1.032437e+05;1.751558e+01;1.100e+05;
7.73973;0.88873;1.029069e+05;1.750646e+01;1.100e+05;
8.01370;0.90383;1.025841e+05;1.749772e+01;1.100e+05;
8.28767;0.91843;1.022742e+05;1.748933e+01;1.100e+05;
8.56164;0.93256;1.019764e+05;1.748126e+01;1.100e+05;
8.83562;0.94624;1.016898e+05;1.747350e+01;1.100e+05;
9.10959;0.95950;1.014135e+05;1.746602e+01;1.100e+05;
9.38356;0.97237;1.011471e+05;1.745881e+01;1.100e+05;
9.65753;0.98487;1.008897e+05;1.745184e+01;1.100e+05;
9.93151;0.99702;1.006410e+05;1.744510e+01;1.100e+05;
10.00000;1.00000;1.005793e+05;1.744344e+01;1.100e+05;
