time_years;log10(time_years);power_out;temp_out;pres_out;
0.00274;-2.56229;1.343770e+06;8.142690e+01;1.500e+05;
0.00603;-2.21987;1.160983e+06;7.647338e+01;1.500e+05;
0.00997;-2.00119;1.073204e+06;7.411023e+01;1.500e+05;
0.01471;-1.83248;1.017030e+06;7.259506e+01;1.500e+05;
0.01918;-1.71719;9.820394e+05;7.163719e+01;1.500e+05;
0.02600;-1.58510;9.468577e+05;7.067406e+01;1.500e+05;
0.03418;-1.46628;9.175060e+05;6.987072e+01;1.500e+05;
0.04110;-1.38620;8.982453e+05;6.934849e+01;1.500e+05;
0.05288;-1.27674;8.743112e+05;6.870591e+01;1.500e+05;
0.06701;-1.17384;8.529039e+05;6.813165e+01;1.500e+05;
0.08329;-1.07942;8.340763e+05;6.762695e+01;1.500e+05;
0.10364;-0.98446;8.160408e+05;6.714365e+01;1.500e+05;
0.12807;-0.89255;7.993084e+05;6.669515e+01;1.500e+05;
0.15738;-0.80304;7.836525e+05;6.627564e+01;1.500e+05;
0.19256;-0.71543;7.689070e+05;6.588090e+01;1.500e+05;
0.23477;-0.62935;7.549440e+05;6.550765e+01;1.500e+05;
0.25014;-0.60182;7.502784e+05;6.538297e+01;1.500e+05;
0.31092;-0.50735;7.359221e+05;6.499971e+01;1.500e+05;
0.38386;-0.41583;7.224458e+05;6.463745e+01;1.500e+05;
0.47139;-0.32662;7.097349e+05;6.429140e+01;1.500e+05;
0.50000;-0.30103;7.058977e+05;6.418618e+01;1.500e+05;
0.62604;-0.20340;6.927995e+05;6.382660e+01;1.500e+05;
0.77729;-0.10942;6.805376e+05;6.348996e+01;1.500e+05;
0.95879;-0.01828;6.689900e+05;6.317291e+01;1.500e+05;
1.00000;0.00000;6.665137e+05;6.310493e+01;1.500e+05;
1.26136;0.10084;6.544190e+05;6.277284e+01;1.500e+05;
1.53533;0.18620;6.443268e+05;6.249573e+01;1.500e+05;
1.80930;0.25751;6.360240e+05;6.226758e+01;1.500e+05;
2.00000;0.30103;6.309233e+05;6.212743e+01;1.500e+05;
2.27397;0.35679;6.246386e+05;6.195480e+01;1.500e+05;
2.54795;0.40619;6.191573e+05;6.180425e+01;1.500e+05;
2.82192;0.45054;6.143104e+05;6.167111e+01;1.500e+05;
3.09589;0.49079;6.099752e+05;6.155203e+01;1.500e+05;
3.36986;0.52761;6.060605e+05;6.144450e+01;1.500e+05;
3.64384;0.56156;6.024967e+05;6.134660e+01;1.500e+05;
3.91781;0.59304;5.992297e+05;6.125686e+01;1.500e+05;
4.19178;0.62240;5.962168e+05;6.117409e+01;1.500e+05;
4.46575;0.64989;5.934234e+05;6.109736e+01;1.500e+05;
4.73973;0.67575;5.908215e+05;6.102588e+01;1.500e+05;
5.00000;0.69897;5.885026e+05;6.096218e+01;1.500e+05;
5.27397;0.72214;5.862115e+05;6.089924e+01;1.500e+05;
5.54795;0.74413;5.840541e+05;6.083997e+01;1.500e+05;
5.82192;0.76507;5.820164e+05;6.078400e+01;1.500e+05;
6.09589;0.78504;5.800866e+05;6.073098e+01;1.500e+05;
6.36986;0.80413;5.782544e+05;6.068065e+01;1.500e+05;
6.64384;0.82242;5.765109e+05;6.063275e+01;1.500e+05;
6.91781;0.83997;5.748492e+05;6.058705e+01;1.500e+05;
7.19178;0.85684;5.732617e+05;6.054338e+01;1.500e+05;
7.46575;0.87307;5.717424e+05;6.050159e+01;1.500e+05;
7.73973;0.88873;5.702860e+05;6.046153e+01;1.500e+05;
8.01370;0.90383;5.688877e+05;6.042306e+01;1.500e+05;
8.28767;0.91843;5.675434e+05;6.038609e+01;1.500e+05;
8.56164;0.93256;5.662492e+05;6.035049e+01;1.500e+05;
8.83562;0.94624;5.650018e+05;6.031617e+01;1.500e+05;
9.10959;0.95950;5.637980e+05;6.028306e+01;1.500e+05;
9.38356;0.97237;5.626352e+05;6.025107e+01;1.500e+05;
9.65753;0.98487;5.615106e+05;6.022013e+01;1.500e+05;
9.93151;0.99702;5.604221e+05;6.019019e+01;1.500e+05;
10.00000;1.00000;5.601522e+05;6.018277e+01;1.500e+05;
