,T_amb,t_des=1,t_des=12,t_des=24
26304,3.5,320.7487605013386,328.9373674334341,345.9470331718614
26305,4.0,316.86414014359286,325.081872422286,342.14683702513236
26306,6.0,301.32043373819454,309.6062862646047,326.81483035031016
26307,7.8,287.331812610762,295.61529008350516,312.84809546128895
26308,7.2,291.99400427382756,300.28477170053725,317.52042406175826
26309,6.1,300.5431759854285,308.83044790334327,326.0429349365513
26310,6.2,299.76592303102217,308.05442893939323,325.2705485212585
26311,6.0,301.32043373819454,309.6062862646047,326.81483035031016
26312,6.2,299.76592303102217,308.05442893939323,325.2705485212585
26313,6.2,299.76592303102217,308.05442893939323,325.2705485212585
26314,6.0,301.32043373819454,309.6062862646047,326.81483035031016
26315,6.2,299.76592303102217,308.05442893939323,325.2705485212585
26316,6.6,296.65699077044263,304.94858939068865,322.1761821512955
26317,6.8,295.1025944543605,303.39464101850615,320.62613747478656
26318,6.8,295.1025944543605,303.39464101850615,320.62613747478656
26319,6.1,300.5431759854285,308.83044790334327,326.0429349365513
26320,3.1,323.85579697024735,332.01753621854374,348.977344023474
26321,3.0,324.63245078285223,332.7869700361002,349.7335354914284
26322,3.1,323.85579697024735,332.01753621854374,348.977344023474
26323,3.8,318.41808670949695,326.624760199344,343.66854067203747
26324,3.8,318.41808670949695,326.624760199344,343.66854067203747
26325,4.3,314.5330072074816,322.7658585279039,339.8602642601122
26326,4.5,312.97879510952856,321.2207524246245,338.3332314570894
26327,5.5,305.2067386958146,313.4826950375681,330.66693994669305
26328,6.4,298.21143783189314,306.5018576714774,323.72432342781303
26329,5.9,302.0976946979698,310.38194191424304,327.5862409829024
26330,5.5,305.2067386958146,313.4826950375681,330.66693994669305
26331,4.9,309.87013367202127,318.1279838368315,335.27288230480775
26332,4.7,311.42449943101224,319.674788554367,336.8040984113053
26333,4.5,312.97879510952856,321.2207524246245,338.3332314570894
26334,4.0,316.86414014359286,325.081872422286,342.14683702513236
26335,3.7,319.1950124165089,327.3958613120566,344.42858217386083
26336,3.5,320.7487605013386,328.9373674334341,345.9470331718614
26337,3.7,319.1950124165089,327.3958613120566,344.42858217386083
26338,4.0,316.86414014359286,325.081872422286,342.14683702513236
26339,4.3,314.5330072074816,322.7658585279039,339.8602642601122
26340,4.5,312.97879510952856,321.2207524246245,338.3332314570894
26341,4.5,312.97879510952856,321.2207524246245,338.3332314570894
26342,4.6,312.20165707241915,320.44787665382745,337.56892641007323
26343,4.0,316.86414014359286,325.081872422286,342.14683702513236
26344,3.4,321.52557958155364,329.70776822198644,346.7054381511084
26345,3.4,321.52557958155364,329.70776822198644,346.7054381511084
26346,3.3,322.302359826072,330.47793135586676,347.46329302071786
26347,3.0,324.63245078285223,332.7869700361002,349.7335354914284
26348,2.8,326.1856203846566,334.3251041166208,351.2442431320236
26349,3.0,324.63245078285223,332.7869700361002,349.7335354914284
26350,3.1,323.85579697024735,332.01753621854374,348.977344023474
26351,3.2,323.07909958609093,331.247854721185,348.2205958172741
26352,3.1,323.85579697024735,332.01753621854374,348.977344023474
26353,3.4,321.52557958155364,329.70776822198644,346.7054381511084
26354,3.5,320.7487605013386,328.9373674334341,345.9470331718614
26355,3.4,321.52557958155364,329.70776822198644,346.7054381511084
26356,4.1,316.08712256484364,324.3100899739316,341.3851794378632
26357,5.1,308.31570688576966,316.58035517497746,333.7396066082468
26358,5.6,304.4294807741765,312.70779140509995,329.897512778706
26359,6.9,294.32541925214525,302.61741708878486,319.85040847021793
26360,8.5,281.8940438395036,290.16101588678816,307.37680103875545
26361,9.8,271.8012013705688,280.01530536854887,297.1608346611738
26362,9.3,275.68200639434286,283.91980602568816,301.0982634444577
26363,8.0,285.7779834471057,294.0576164961759,311.2870594412696
26364,5.2,307.53847756348836,315.80624099484453,332.9722008204956
26365,5.0,309.09292858462186,317.35427143920936,334.5065012132914
26366,5.2,307.53847756348836,315.80624099484453,332.9722008204956
26367,5.0,309.09292858462186,317.35427143920936,334.5065012132914
26368,4.7,311.42449943101224,319.674788554367,336.8040984113053
26369,5.2,307.53847756348836,315.80624099484453,332.9722008204956
26370,5.2,307.53847756348836,315.80624099484453,332.9722008204956
26371,5.5,305.2067386958146,313.4826950375681,330.66693994669305
26372,5.5,305.2067386958146,313.4826950375681,330.66693994669305
