latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
41.25,-104.75,1782.0,0,GMT,GMT

time,temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),surface_pressure (hPa)
2015-01-01T00:00,-14.5,57,-21.1,816.3
2015-01-01T01:00,-15.5,60,-21.6,815.3
2015-01-01T02:00,-18.0,62,-23.5,814.0
2015-01-01T03:00,-19.4,61,-25.1,812.7
2015-01-01T04:00,-19.2,59,-25.1,812.2
2015-01-01T05:00,-19.5,61,-25.0,811.8
2015-01-01T06:00,-20.0,60,-25.8,810.4
2015-01-01T07:00,-20.1,59,-26.1,809.7
2015-01-01T08:00,-20.2,62,-25.5,808.8
2015-01-01T09:00,-21.8,63,-26.9,806.9
2015-01-01T10:00,-21.3,66,-25.9,807.7
2015-01-01T11:00,-19.3,63,-24.6,807.8
2015-01-01T12:00,-17.7,59,-23.7,807.7
2015-01-01T13:00,-16.7,57,-23.2,808.0
2015-01-01T14:00,-16.6,58,-22.9,808.2
2015-01-01T15:00,-13.9,53,-21.4,810.9
2015-01-01T16:00,-11.4,52,-19.3,813.3
2015-01-01T17:00,-9.0,54,-16.6,815.1
2015-01-01T18:00,-7.2,57,-14.2,815.7
2015-01-01T19:00,-6.7,58,-13.6,815.2
2015-01-01T20:00,-6.0,57,-13.1,815.5
2015-01-01T21:00,-5.8,61,-12.1,815.6
2015-01-01T22:00,-6.9,68,-11.8,815.5
2015-01-01T23:00,-7.4,68,-12.3,815.8
2015-01-02T00:00,-8.0,69,-12.7,815.9
2015-01-02T01:00,-8.5,72,-12.6,815.7
2015-01-02T02:00,-8.5,72,-12.7,815.6
2015-01-02T03:00,-7.3,75,-11.0,816.4
2015-01-02T04:00,-7.5,76,-11.0,816.1
2015-01-02T05:00,-7.4,79,-10.4,816.6
2015-01-02T06:00,-7.6,82,-10.2,816.7
2015-01-02T07:00,-6.6,82,-9.1,817.4
2015-01-02T08:00,-6.9,83,-9.3,817.1
2015-01-02T09:00,-7.3,88,-9.0,816.4
2015-01-02T10:00,-8.4,82,-10.9,815.6
2015-01-02T11:00,-7.8,81,-10.6,815.1
