latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
48.25,11.5,491.0,0,GMT,GMT

time,temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),surface_pressure (hPa)
2015-01-01T00:00,-3.5,95,-4.1,975.5
2015-01-01T01:00,-4.1,95,-4.7,975.5
2015-01-01T02:00,-4.7,96,-5.2,975.6
2015-01-01T03:00,-4.2,96,-4.7,975.5
2015-01-01T04:00,-3.9,96,-4.5,975.3
2015-01-01T05:00,-4.1,96,-4.6,975.5
2015-01-01T06:00,-3.7,96,-4.3,975.9
2015-01-01T07:00,-3.7,95,-4.5,975.9
2015-01-01T08:00,-3.1,92,-4.1,976.2
2015-01-01T09:00,-2.8,91,-4.1,976.2
2015-01-01T10:00,-1.7,89,-3.2,977.1
2015-01-01T11:00,-0.9,88,-2.6,977.3
2015-01-01T12:00,-0.4,86,-2.4,976.4
2015-01-01T13:00,-0.1,87,-2.0,975.7
2015-01-01T14:00,-0.3,88,-2.0,975.8
2015-01-01T15:00,0.2,82,-2.5,976.0
2015-01-01T16:00,-0.6,87,-2.5,975.7
2015-01-01T17:00,-3.2,95,-3.8,975.4
2015-01-01T18:00,-3.5,97,-3.9,975.5
2015-01-01T19:00,-3.8,97,-4.2,975.6
2015-01-01T20:00,-2.5,97,-2.9,975.9
2015-01-01T21:00,-4.6,99,-4.7,974.9
2015-01-01T22:00,-7.0,98,-7.2,974.2
2015-01-01T23:00,-6.0,97,-6.4,973.9
2015-01-02T00:00,-6.6,96,-7.1,972.8
2015-01-02T01:00,-6.6,95,-7.3,972.4
2015-01-02T02:00,-7.2,95,-7.9,972.3
2015-01-02T03:00,-6.9,95,-7.6,971.4
2015-01-02T04:00,-5.1,92,-6.2,971.2
2015-01-02T05:00,-3.9,89,-5.5,971.1
2015-01-02T06:00,-3.3,88,-5.0,970.8
2015-01-02T07:00,-1.7,87,-3.6,971.0
2015-01-02T08:00,-0.2,83,-2.8,971.2
2015-01-02T09:00,2.2,79,-1.0,971.2
2015-01-02T10:00,2.6,77,-0.9,971.8
2015-01-02T11:00,3.4,75,-0.7,970.6
2015-01-02T12:00,3.7,74,-0.6,970.0
2015-01-02T13:00,3.2,81,0.2,970.2
2015-01-02T14:00,2.7,87,0.7,970.4
2015-01-02T15:00,2.6,89,1.0,970.7
2015-01-02T16:00,2.5,93,1.5,971.1
2015-01-02T17:00,2.7,92,1.6,971.5
2015-01-02T18:00,2.8,91,1.5,971.9
2015-01-02T19:00,2.9,91,1.6,972.8
2015-01-02T20:00,2.9,91,1.7,973.6
2015-01-02T21:00,2.8,92,1.7,974.5
2015-01-02T22:00,2.7,93,1.7,974.7
2015-01-02T23:00,2.5,92,1.4,974.7
2015-01-03T00:00,2.4,91,1.1,974.3
2015-01-03T01:00,1.9,91,0.6,974.5
2015-01-03T02:00,1.7,90,0.3,975.0
2015-01-03T03:00,1.4,91,0.0,974.6
2015-01-03T04:00,1.1,91,-0.2,974.5
2015-01-03T05:00,0.7,91,-0.5,974.1
2015-01-03T06:00,0.5,92,-0.6,973.0
2015-01-03T07:00,0.4,93,-0.6,972.9
2015-01-03T08:00,0.4,94,-0.5,972.5
2015-01-03T09:00,0.5,94,-0.3,970.5
2015-01-03T10:00,1.9,87,-0.0,969.4
2015-01-03T11:00,2.3,85,0.1,967.7
2015-01-03T12:00,2.8,85,0.5,966.4
2015-01-03T13:00,2.8,87,0.8,965.2
2015-01-03T14:00,2.0,91,0.7,963.8
2015-01-03T15:00,1.3,95,0.7,961.8
2015-01-03T16:00,0.5,100,0.5,960.4
2015-01-03T17:00,0.8,99,0.7,959.7
2015-01-03T18:00,2.9,95,2.1,958.3
2015-01-03T19:00,5.8,90,4.2,956.8
2015-01-03T20:00,6.7,88,4.9,955.2
2015-01-03T21:00,7.1,87,5.2,954.9
2015-01-03T22:00,7.3,88,5.5,955.9
2015-01-03T23:00,5.6,91,4.2,959.4
2015-01-04T00:00,2.3,96,1.8,962.3
2015-01-04T01:00,0.7,94,-0.1,963.3
2015-01-04T02:00,0.7,93,-0.3,964.8
2015-01-04T03:00,0.8,93,-0.3,965.7
2015-01-04T04:00,0.8,93,-0.2,966.2
