latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
24.75,46.75,623.0,0,GMT,GMT

time,temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),surface_pressure (hPa)
2015-01-01T00:00,10.6,63,3.8,946.2
2015-01-01T01:00,9.8,65,3.5,946.0
2015-01-01T02:00,8.8,70,3.6,946.2
2015-01-01T03:00,9.0,71,4.1,947.1
2015-01-01T04:00,9.1,72,4.4,947.7
2015-01-01T05:00,11.0,59,3.4,949.3
2015-01-01T06:00,15.5,50,5.2,951.0
2015-01-01T07:00,16.6,42,3.7,951.4
2015-01-01T08:00,18.6,36,3.1,950.8
2015-01-01T09:00,19.3,36,3.8,949.6
2015-01-01T10:00,21.0,33,3.9,949.0
2015-01-01T11:00,21.7,32,4.1,948.2
2015-01-01T12:00,21.9,31,4.0,948.2
2015-01-01T13:00,21.7,31,3.7,947.9
2015-01-01T14:00,20.5,32,3.4,948.2
2015-01-01T15:00,19.0,35,3.2,948.3
2015-01-01T16:00,17.7,36,2.4,948.8
2015-01-01T17:00,16.1,40,2.6,948.9
2015-01-01T18:00,14.7,41,1.6,948.7
2015-01-01T19:00,13.7,42,0.9,949.1
2015-01-01T20:00,12.5,45,0.9,948.8
2015-01-01T21:00,11.9,46,0.7,948.5
2015-01-01T22:00,11.0,48,0.5,948.1
2015-01-01T23:00,10.9,50,0.7,947.7
2015-01-02T00:00,10.9,48,0.2,947.0
2015-01-02T01:00,10.8,48,0.4,947.0
2015-01-02T02:00,10.3,51,0.6,946.8
2015-01-02T03:00,9.7,54,0.8,947.4
2015-01-02T04:00,9.1,57,0.9,947.5
2015-01-02T05:00,11.1,50,1.0,948.8
2015-01-02T06:00,14.4,43,2.0,949.8
2015-01-02T07:00,16.9,37,2.1,950.3
2015-01-02T08:00,19.6,30,1.8,949.7
2015-01-02T09:00,21.0,30,3.0,949.2
2015-01-02T10:00,23.2,26,2.4,948.2
2015-01-02T11:00,24.1,24,2.5,947.6
2015-01-02T12:00,24.5,24,2.7,947.4
2015-01-02T13:00,24.4,24,2.6,947.1
2015-01-02T14:00,22.8,28,3.4,947.3
2015-01-02T15:00,20.8,29,2.1,947.6
2015-01-02T16:00,19.0,31,1.4,947.9
2015-01-02T17:00,17.2,37,2.4,948.0
2015-01-02T18:00,16.4,37,1.8,947.6
2015-01-02T19:00,16.0,37,1.1,947.7
2015-01-02T20:00,14.9,40,1.4,947.3
2015-01-02T21:00,13.1,42,0.4,946.4
2015-01-02T22:00,12.8,45,1.1,946.1
2015-01-02T23:00,12.1,48,1.4,945.5
2015-01-03T00:00,11.7,48,1.0,945.1
2015-01-03T01:00,10.7,51,1.1,944.8
2015-01-03T02:00,9.6,57,1.5,944.6
2015-01-03T03:00,9.5,60,2.2,945.3
2015-01-03T04:00,9.1,63,2.5,945.4
2015-01-03T05:00,11.5,52,2.1,946.6
